ID,Category,Frage,Antwort1,Antwort2,Antwort3,Antwort4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,RichtigeAnt1,CorrectAns2,CorrectAns3
11,PEOPLE & ORGANIZATION,Ein Beispiel für einen externen Einfluss auf Ziele und Strategie für das Personalwesen ist:,Wettbewerberaktionen, Unternehmenskonzept für flexibles Arbeiten, Stärke der internen Kommunikation , Organisationsstruktur des Unternehmens,NIL,NIL,NIL,NIL,NIL,NIL,Wettbewerberaktionen,NIL,NIL
12,PEOPLE & ORGANIZATION,"All diese strategischen Aktivitäten sind am Personalwesen beteiligt, mit welcher Ausnahme?",Bestandsmanagement , Mitarbeiterengagement, Personalplanung, Rekrutierung und Auswahl,NIL,NIL,NIL,NIL,NIL,NIL,Bestandsmanagement ,NIL,NIL
13,PEOPLE & ORGANIZATION,"Eine zeitlose Formulierung von Zweck, Werten, Hauptzielen, Überzeugungen und wichtigsten Tätigkeiten wird bezeichnet als:",Vision, Positionsbeschreibung, Leitbild, Benchmarking,NIL,NIL,NIL,NIL,NIL,NIL, Leitbild,NIL,NIL
14,PEOPLE & ORGANIZATION,"Die übergeordnete, langfristige, von Emotionen geprägte Bestimmung des Unternehmens wird repräsentiert durch seine:",Mission, Vision, Werte, Strategie,NIL,NIL,NIL,NIL,NIL,NIL, Vision,NIL,NIL
15,PEOPLE & ORGANIZATION,"Die Absicht der Firma, Wert für Aktionäre zu schaffen und zu erhalten, wird bezeichnet als:",Strategie, Mission, Vision, Zweck,NIL,NIL,NIL,NIL,NIL,NIL,Strategie,NIL,NIL
16,PEOPLE & ORGANIZATION,Das Richtige tun:,Proaktivität, Produktivität, Effizienz, Effektivität,NIL,NIL,NIL,NIL,NIL,NIL, Effektivität,NIL,NIL
17,PEOPLE & ORGANIZATION,Die Dinge richtig machen:,Effizienz, Effektivität, Produktivität, Proaktivität,NIL,NIL,NIL,NIL,NIL,NIL,Effizienz,NIL,NIL
18,PEOPLE & ORGANIZATION,Was ist CBS?,Aktuelle Geschäftslage, Creative Brainstorming Scheme, Combination Business Strategy, Continental Business Systems,NIL,NIL,NIL,NIL,NIL,NIL,Nichts,NIL,NIL
19,PEOPLE & ORGANIZATION,Was gehört nicht zur Qualitätsstrategie von Continental?,Vision, Anwendungsbereich, Strategische Ziele & KPIs, Leitbild,NIL,NIL,NIL,NIL,NIL,NIL, Leitbild,NIL,NIL
20,PEOPLE & ORGANIZATION,Was gehört nicht zur Qualitätsstrategie von Continental?, Kundenpflege, Strategische Maßnahmen & KPIs, Anwendungsbereich, Vision,NIL,NIL,NIL,NIL,NIL,NIL, Kundenpflege,NIL,NIL
21,PEOPLE & ORGANIZATION,Wie viele Schichten hat die Qualitätsstrategie von Continental?,7,4,5,2,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
22,PEOPLE & ORGANIZATION,Wie viele Schichten der Qualitätsstrategie von Continental sind in allen Divisionen dieselben?, Alle, Keine,2,3,NIL,NIL,NIL,NIL,NIL,NIL,3,NIL,NIL
23,PRODUCTION & DELIVERY,„Jidoka“ ist:, Asiatisches Softwaresystem, Intelligente Automation, Niederlassung von Continental in Asien, Kampftechnik,NIL,NIL,NIL,NIL,NIL,NIL, Intelligente Automation,NIL,NIL
24,PRODUCTION & DELIVERY,"Ein datengesteuerter Verbesserungszyklus, der zur Verbesserung und Stabilisierung von Geschäftsprozessen und Business Design angewandt wird, heißt:", Kaizen, Dmaic, Deming Cycle, Zykluszeit,NIL,NIL,NIL,NIL,NIL,NIL, Dmaic,NIL,NIL
25,PRODUCTION & DELIVERY,Was gehört nicht zum DMAIC?, Messen, Analysieren, Steuern, Importieren,NIL,NIL,NIL,NIL,NIL,NIL, Analysieren,NIL,NIL
26,PRODUCTION & DELIVERY,Was gehört nicht zum DMAIC?, Definieren, Bestätigen, Analysieren, Messen,NIL,NIL,NIL,NIL,NIL,NIL, Bestätigen,NIL,NIL
27,PRODUCTION & DELIVERY,Was gehört nicht zum DMAIC?, Automatisieren, Steuern, Definieren, Verbessern,NIL,NIL,NIL,NIL,NIL,NIL, Automatisieren,NIL,NIL
28,PRODUCTION & DELIVERY,Was ist „Kanban“?, Team-Building-Methode, Änderung des Wulstband-Geschäftsmodells, Verschwendung, System zur Steuerung der Logistikkette,NIL,NIL,NIL,NIL,NIL,NIL, System zur Steuerung der Logistikkette,NIL,NIL
29,PRODUCTION & DELIVERY,Auf welches Produktionsoptimierungsverfahren bezieht sich Kanban?, Lean Management, Just-In-Time-Fertigung, Multivariate Optimierung, Projektfertigung,NIL,NIL,NIL,NIL,NIL,NIL, Just-In-Time-Fertigung,NIL,NIL
30,PRODUCTION & DELIVERY,Die Abkürzung „ppm“ bedeutet:, Parts Per Million, Parts Per Minute, Proaktives Energiemanagement, Persönlicher Programm-Manager,NIL,NIL,NIL,NIL,NIL,NIL, Parts Per Million,NIL,NIL
31,PRODUCTION & DELIVERY,„PPAP“ bedeutet:, Produktionsteil-Abnahmeverfahren, Productionsprozess-Aktionsplan, Produkt Platzierungs-Automationsplan, Praktisches Produktionsfreigabeprogramm,NIL,NIL,NIL,NIL,NIL,NIL, Produktionsteil-Abnahmeverfahren,NIL,NIL
32,PRODUCTION & DELIVERY,Das Produktionsteil-Abnahmeverfahren (PPAP) ist obligatorisch bei:, Neu entwickelte Produkte, Produktionsverlagerung, Praktische Produktionsfreigabe , Produktionsteil-Abnahmeverfahren,NIL,NIL,NIL,NIL,NIL,NIL, Produktionsteil-Abnahmeverfahren,NIL,NIL
33,PRODUCTION & DELIVERY,An welchem Punkt in der Fertigung hilft PPAP bei der Abnahme von Produktionsdesigns und -prozessen?, Vorher, Nachher, Während, Alle Antworten sind richtig,NIL,NIL,NIL,NIL,NIL,NIL, Alle Antworten sind richtig,NIL,NIL
34,PRODUCTION & DELIVERY,"Das Verfahren der Untersuchung hergestellter Produkte, wenn sie den definierten Anforderungen entsprechen, wird bezeichnet als:", Produktivitätsmessung, Einschätzung der Effektivität, Musterprüfung, Automatische optische Inspektion,NIL,NIL,NIL,NIL,NIL,NIL, Musterprüfung,NIL,NIL
35,PRODUCTION & DELIVERY,Was heißt „SOP“?, Normbetriebsprozess, Produktionsleiter, Produktionsstart, Programm der Sicherheitsabläufe,NIL,NIL,NIL,NIL,NIL,NIL, Produktionsstart,NIL,NIL
36,PRODUCTION & DELIVERY,"Was ist unvermeidlich, bevor Produkte zum vorgesehenen Bestimmungsort verschickt werden?", Jidoka, Produktionsteil-Abnahmeverfahren, Black-Box-Tests, Root Cause Analysis (Ursachenanalyse),NIL,NIL,NIL,NIL,NIL,NIL, Produktionsteil-Abnahmeverfahren,NIL,NIL
37,PRODUCTION & DELIVERY,Welches Testverfahren gewährleistet elektromagnetische Verträglichkeit?, Emi, EMV, Ec, Emcb,NIL,NIL,NIL,NIL,NIL,NIL, EMV,NIL,NIL
38,PRODUCTION & DELIVERY,Das EMV-Testverfahren gewährleistet:, Elektromagnetische Verträglichkeit, Externe Managementkommunikation, Elektromagnetische Verträglichkeit, Mobilverbindung Unternehmen,NIL,NIL,NIL,NIL,NIL,NIL, Elektromagnetische Verträglichkeit,NIL,NIL
39,PRODUCTION & DELIVERY,Was ist ein anderer Begriff für First Pass Yield?, Erstteilabnahme, Throughput Yield, Pass at Once (Auf Anhieb o.k.), Ersatzteilausbeute,NIL,NIL,NIL,NIL,NIL,NIL, Throughput Yield,NIL,NIL
40,PRODUCTION & DELIVERY,Welche Produkte aus einem einzelnen Prozess werden als First Pass Yield gezählt?, Teile nach neuester Technologie, Nur defekte, Ersatzteile, Nur einwandfreie Einheiten ohne Nacharbeit,NIL,NIL,NIL,NIL,NIL,NIL, Nur einwandfreie Einheiten ohne Nacharbeit,NIL,NIL
41,PRODUCTION & DELIVERY,Was bedeutet FPY?, First Probable Year, Frequency Progress Yield, First Pass Yield, Finished Product Yield,NIL,NIL,NIL,NIL,NIL,NIL, First Pass Yield,NIL,NIL
42,PRODUCTION & DELIVERY,"Wie nennt man den Mindestertragswert, mit dem ein Unternehmen bei der Investition in ein Projekt rechnet?", Hurdle Rate, Interner Zinssatz (IRR), Leitzinssatz, Zinssatz,NIL,NIL,NIL,NIL,NIL,NIL, Hurdle Rate,NIL,NIL
43,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie nennt man die internationalen Normen zu Qualitätsmanagement und Qualitätssicherung?, ISO 9001, Ifrs, Ias, Ppap ,NIL,NIL,NIL,NIL,NIL,NIL, ISO 9001,NIL,NIL
44,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die ISO 9001 helfen Unternehmen ..., Haushaltsvorgaben einzuhalten, beim Rekrutierungsprozess, ein effizientes Qualitätssystem zu unterhalten, „Kanban“ zu implementieren,NIL,NIL,NIL,NIL,NIL,NIL, ein effizientes Qualitätssystem zu unterhalten,NIL,NIL
45,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die internationalen Normen zu Qualitätsmanagement und Qualitätssicherung (ISO 9001) sind spezifisch für:, Fertigungsindustrie, Dienstleistungssektor," Landwirtschaft, Bergbau, Forstwirtschaft", Lassen sich auf jede Branche anwenden,NIL,NIL,NIL,NIL,NIL,NIL, Lassen sich auf jede Branche anwenden,NIL,NIL
46,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die ISO 9001 beruhen auf:, 5S, 8 Grundsätze des Qualitätsmanagements, Deming Cycle, 7 Arten von Verschwendung,NIL,NIL,NIL,NIL,NIL,NIL, 8 Grundsätze des Qualitätsmanagements,NIL,NIL
47,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Der Begriff „AOI“ steht für:, Automatische optische Illusion, Art Of Internet, Automatische organisierte Intelligenz, Automatische optische Inspektion ,NIL,NIL,NIL,NIL,NIL,NIL, Automatische optische Inspektion ,NIL,NIL
48,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was bedeutet PLC?, Product Launch Cost, Project Line Cycle, Programme Labour Cost, Product Life Cycle,NIL,NIL,NIL,NIL,NIL,NIL,Nichts,NIL,NIL
49,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Eine detaillierte Schritt-für-Schritt-Beschreibung der üblichen Unternehmensmethode zur Abwicklung von Tätigkeiten ist:, eine Politik , ein Verfahren, eine Regel, Vision,NIL,NIL,NIL,NIL,NIL,NIL, ein Verfahren,NIL,NIL
50,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Die Gesamtzeit von Anfang bis Ende eines Prozesses heißt:, Prozesszeit, Verzögerungszeit, Zykluszeit, Vorlaufzeit,NIL,NIL,NIL,NIL,NIL,NIL, Zykluszeit,NIL,NIL
51,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welche Art von Tests bestätigt die Funktionalität eines Systems auf der Basis von Input und Output ohne Berücksichtigung seiner internen Logik?, Komponententests, Strukturelle Tests, Black-Box-Tests, Leistungstests,NIL,NIL,NIL,NIL,NIL,NIL, Black-Box-Tests,NIL,NIL
52,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Auf welcher Art von Ansatz beruht der Rahmen für die Scrum Softwareentwicklung?, Wasserfall, Programmierung und Fehlerbehebung, Extreme Programming, Inkrementell und iterativ,NIL,NIL,NIL,NIL,NIL,NIL,Nichts,NIL,NIL
53,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Welcher Art von Ansatz kommt bei der testgetriebenen Entwicklung zur Anwendung?," Erst einen Test entwickeln, dann implementieren", Zwei Testzeilen für eine Codezeile, Assertion-Tests für Input/Outputs, Umfassender White-Box-Test nach der Implementierung,NIL,NIL,NIL,NIL,NIL,NIL," Erst einen Test entwickeln, dann implementieren",NIL,NIL
54,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was wird bei einem White-Box-Test untersucht?, Das Ergebnis einer leeren Input-Box, Die interne Struktur eines Systems, Eine Null-Zeiger-Ausnahme, Eine Komponente von GUI,NIL,NIL,NIL,NIL,NIL,NIL, Die interne Struktur eines Systems,NIL,NIL
55,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist kein Dokumentationstyp bei üblichen Softwareprojekten?, Technische Dokumentation, Benutzerdokumentation, Anforderungsdokumentation, Risikodokumentation,NIL,NIL,NIL,NIL,NIL,NIL, Risikodokumentation,NIL,NIL
56,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Was ist eine iterative, nachfragende Methode zur Untersuchung der Ursache-Wirkung-Beziehung, die einem Problem zugrunde liegt?", 3How, 5Why, Deming Cycle, 4W2H,NIL,NIL,NIL,NIL,NIL,NIL, 5Why,NIL,NIL
57,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie wird das Fischgrätendiagramm auch genannt?, Kanban, 8D-Bericht, Wasserfall-Diagramm, Ursache-Wirkung-Diagramm,NIL,NIL,NIL,NIL,NIL,NIL, Ursache-Wirkung-Diagramm,NIL,NIL
58,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wofür steht die Abkürzung FTA?, Fehlerbaumanalyse, Frontend Technical Approval, Future Trend Analysis, Field Traceability Approach,NIL,NIL,NIL,NIL,NIL,NIL, Fehlerbaumanalyse,NIL,NIL
59,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist Ishikawa?, Logistiksystem, Geschäftmodell, Ursache-Wirkung-Diagramm, Softwareentwicklungstool,NIL,NIL,NIL,NIL,NIL,NIL, Ursache-Wirkung-Diagramm,NIL,NIL
60,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:", Menschen, Umwelt, Messungen, Budget,NIL,NIL,NIL,NIL,NIL,NIL, Budget,NIL,NIL
61,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:", Wirtschaftlichkeit, Materialien, Methoden, Menschen,NIL,NIL,NIL,NIL,NIL,NIL, Wirtschaftlichkeit,NIL,NIL
62,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,"Das Fischgrätendiagramm umfasst in der Regel folgende Kategorien, außer:", Messungen, Maschinenpark, Realisierbarkeit, Umwelt,NIL,NIL,NIL,NIL,NIL,NIL, Realisierbarkeit,NIL,NIL
63,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wofür steht die Abkürzung CMMI?, Capability Maturity Model Integration, Change Management Method Idea, Compatibility Man Machine Interface, Continental Magnetic Machine Integration,NIL,NIL,NIL,NIL,NIL,NIL, Capability Maturity Model Integration,NIL,NIL
64,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist CMMI?, Geschäftsstrategie, Process Improvement And Appraisal Programme (Programm zur Prozessverbesserung und -beurteilung), International Budgeting Standards (Internationale Normen zur Haushaltsführung), Projektmanagementtool,NIL,NIL,NIL,NIL,NIL,NIL, Process Improvement And Appraisal Programme (Programm zur Prozessverbesserung und -beurteilung),NIL,NIL
65,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was ist der HALT-Test (Highly Accelerated Life Test)?, Methode zur Bestimmung des Auslastungsgrads , Testen zur Beschleunigung der Produktzuverlässigkeit, Finanzanalyse, Messung der durchschnittlichen Auslastung,NIL,NIL,NIL,NIL,NIL,NIL, Testen zur Beschleunigung der Produktzuverlässigkeit,NIL,NIL
66,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Was bedeutet HALT?, Highly Applicable Label Type, Holistic Arbitrary Label Testing, Hardware Architecture Level Testimonial, Highly Accelerated Life Test,NIL,NIL,NIL,NIL,NIL,NIL, Highly Accelerated Life Test,NIL,NIL
67,PRODUCT & PRODUCTION PROCESS DEVELOPMENT,Wie viele Stadien hat der Produktlebenszyklus?,6,3,4,10,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
68,MANAGEMENT & SUPPORT PROCESS,"Folgendes gehört zu den 8 Grundsätzen des Qualitätsmanagements, außer:", Kundenorientierung, Führung, Einbindung der Mitarbeiter, Sachbezogener Ansatz zur Entscheidungsfindung,NIL,NIL,NIL,NIL,NIL,NIL,Nichts,NIL,NIL
69,MANAGEMENT & SUPPORT PROCESS,"Folgendes gehört zu den 8 Grundsätzen des Qualitätsmanagements, außer:", Verfahrenskonzept, Verbesserung von Personen,Führung, Lieferantenbeziehungen zum gegenseitigen Nutzen,NIL,NIL,NIL,NIL,NIL,NIL, Verbesserung von Personen,NIL,NIL
70,MANAGEMENT & SUPPORT PROCESS,Welche Abteilung ist für die Beschaffung von Qualitätsteilen zuständig?, Industrial Engineering, Vertrieb, Einkauf, Marketing,NIL,NIL,NIL,NIL,NIL,NIL, Einkauf,NIL,NIL
71,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zu den „5S“?, Standardisieren, Erhalten, Lagern, Glänzen,NIL,NIL,NIL,NIL,NIL,NIL, Lagern,NIL,NIL
72,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zu den „5S“?, Erhalten, Unterstützen, Ordnen, Aussortieren,NIL,NIL,NIL,NIL,NIL,NIL, Unterstützen,NIL,NIL
73,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zu den „5S“?, Ordnen, Standardisieren, Aussortieren, Teilen,NIL,NIL,NIL,NIL,NIL,NIL, Teilen,NIL,NIL
74,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zu den „5S“?, Signalisieren, Glänzen, Erhalten, Standardisieren,NIL,NIL,NIL,NIL,NIL,NIL, Signalisieren,NIL,NIL
75,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zu den „5S“?, Glänzen, Ordnen, Standardisieren, Verteilen,NIL,NIL,NIL,NIL,NIL,NIL, Verteilen,NIL,NIL
76,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zum Deming Cycle?, Planen, Ausführen, Kontrollieren, Wiederverwerten,NIL,NIL,NIL,NIL,NIL,NIL, Wiederverwerten,NIL,NIL
77,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zum Deming Cycle?, Kontrollieren, Lesen, Planen, Optimieren,NIL,NIL,NIL,NIL,NIL,NIL, Lesen,NIL,NIL
78,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zum Deming Cycle?, Ausführen, Optimieren, Messen, Kontrollieren,NIL,NIL,NIL,NIL,NIL,NIL, Messen,NIL,NIL
79,MANAGEMENT & SUPPORT PROCESS,Was gehört nicht zum Deming Cycle?, Optimieren, Kontrollieren, Ausführen, Nachweisen,NIL,NIL,NIL,NIL,NIL,NIL, Nachweisen,NIL,NIL
80,MANAGEMENT & SUPPORT PROCESS,Es gibt 7 verschiedene Arten von Verschwendung. Was gilt nicht als Verschwendung?, Marketing, Defekt/Fehler, Überproduktion, Transport,NIL,NIL,NIL,NIL,NIL,NIL, Marketing,NIL,NIL
81,MANAGEMENT & SUPPORT PROCESS,"Folgende sind verschiedene Arten von Verschwendung, außer:", Bestände, Bewegung, Rechnungsführung, Überbearbeitung,NIL,NIL,NIL,NIL,NIL,NIL, Rechnungsführung,NIL,NIL
82,MANAGEMENT & SUPPORT PROCESS,Es gibt 7 verschiedene Arten von Verschwendung. Was gilt nicht als Verschwendung?, Wartezeiten, Lieferkettenmanagement, Transport, Überproduktion,NIL,NIL,NIL,NIL,NIL,NIL, Lieferkettenmanagement,NIL,NIL
83,MANAGEMENT & SUPPORT PROCESS,Es gibt 7 verschiedene Arten von Verschwendung. Was gilt nicht als Verschwendung?, Einkauf, Bewegung, Defekt/Fehler, Wartezeiten,NIL,NIL,NIL,NIL,NIL,NIL, Einkauf,NIL,NIL
84,MANAGEMENT & SUPPORT PROCESS,"Folgende sind verschiedene Arten von Verschwendung, außer:", Überbearbeitung, Wartezeiten, Bestände, Montagestraße,NIL,NIL,NIL,NIL,NIL,NIL, Montagestraße,NIL,NIL
85,MANAGEMENT & SUPPORT PROCESS,Lean Manufacturing wird angewandt bei:, Fertigungsindustrien, Gesundheitsleistungen, Sonstige Dienstleistungsbranchen, Alle Antworten sind richtig,NIL,NIL,NIL,NIL,NIL,NIL, Alle Antworten sind richtig,NIL,NIL
86,MANAGEMENT & SUPPORT PROCESS," Bei welcher deduktiven Top-Down-Ausfallanalyse wird versucht, eine Reihe von Basisereignissen zu kombinieren?", Fischgrät-Analyse, Dreiecks-Analyse,Fehlerbaumanalyse, Fehlerpyramiden-Analyse,NIL,NIL,NIL,NIL,NIL,NIL,Fehlerbaumanalyse,NIL,NIL
87,MANAGEMENT & SUPPORT PROCESS,Das Hauptziel einer statistischen Qualitätskontrolle in Industrieanwendungen ist, Bessere Qualität zu geringeren Kosten, Bessere Qualität um jeden Preis, Bessere Qualität zu höheren Kosten, Keines der Vorstehenden,NIL,NIL,NIL,NIL,NIL,NIL, Bessere Qualität zu geringeren Kosten,NIL,NIL
88,MANAGEMENT & SUPPORT PROCESS,Was ist die erste Phase jeder Initiative zur Qualitätsverbesserung?, Planung, Das Gespräch kontrollieren, Die Daten analysieren, Engagement des Managements,NIL,NIL,NIL,NIL,NIL,NIL, Engagement des Managements,NIL,NIL
89,MANAGEMENT & SUPPORT PROCESS,Was ist Ursachenanalyse?, Was ein Gärtner anwenden würde, Problemlösungsmethode, Eines der Tools des Qualitätszirkels, Teil der FMEA,NIL,NIL,NIL,NIL,NIL,NIL, Problemlösungsmethode,NIL,NIL
90,MANAGEMENT & SUPPORT PROCESS,FEMA ist, Failure Mode and Effects Analysis (Fehlermöglichkeits- und -einflussanalyse), Geschäftmodell, Financial Estimation Measure Accounting, Problemlösungsmethode,NIL,NIL,NIL,NIL,NIL,NIL, Failure Mode and Effects Analysis (Fehlermöglichkeits- und -einflussanalyse),NIL,NIL
91,MANAGEMENT & SUPPORT PROCESS,Wie kann ein Unternehmen seine gute Qualität beweisen?, Deckungsbeitragsrechnung, 5S, Deming Cycle, Qualitätsaudit,NIL,NIL,NIL,NIL,NIL,NIL, Qualitätsaudit,NIL,NIL
92,MANAGEMENT & SUPPORT PROCESS,Was ist der beste Projektplan?, Der schnellste, Der realistische, Der preisgünstigste, Höchste Rendite,NIL,NIL,NIL,NIL,NIL,NIL, Der realistische,NIL,NIL
93,MANAGEMENT & SUPPORT PROCESS,Mit minimalen Bestandsinvestitionen höheren Kundenwert erzielen nennt man:, Produktplatzierung, Preispolitik, Risikomanagement, Lean Management,NIL,NIL,NIL,NIL,NIL,NIL, Lean Management,NIL,NIL
94,MANAGEMENT & SUPPORT PROCESS,Welcher der folgenden Schritte ist bei der Implementierung von Qualitätsmanagement erforderlich?, Qualitätsbeurteilung, Qualitätsanspruch, Qualitätssicherung, Qualitätsdefinition,NIL,NIL,NIL,NIL,NIL,NIL, Qualitätssicherung,NIL,NIL
95,MANAGEMENT & SUPPORT PROCESS,Welcher der folgenden Schritte ist bei der Implementierung von Qualitätsmanagement erforderlich?, Qualitätskontrolle, Qualitätsmessung, Qualitätsquantifizierung, Qualitätsdefinition,NIL,NIL,NIL,NIL,NIL,NIL, Qualitätskontrolle,NIL,NIL
96,MANAGEMENT & SUPPORT PROCESS,Welcher der folgenden Schritte ist bei der Implementierung von Qualitätsmanagement erforderlich?, Qualitätsbewegung, Qualitätsbericht, Qualitätstransfer, Qualitätsverbesserung,NIL,NIL,NIL,NIL,NIL,NIL, Qualitätsverbesserung,NIL,NIL
97,MANAGEMENT & SUPPORT PROCESS,Welcher der folgenden Schritte ist bei der Implementierung von Qualitätsmanagement erforderlich?, Qualitätsanalyse, Qualitätsplanung, Qualitätsfunktion, Qualitätsänderung,NIL,NIL,NIL,NIL,NIL,NIL, Qualitätsplanung,NIL,NIL
98,SUPPLIER MANAGEMENT,Wofür steht „OEE“?, Order Electronical Enquiry, Output Efficiency Estimation, Overall Equipment Effectiveness, Old English Etiquette,NIL,NIL,NIL,NIL,NIL,NIL, Overall Equipment Effectiveness,NIL,NIL
99,SUPPLIER MANAGEMENT,"Folgendes gehört zu den 5 grundsätzlichen Leistungszielen bei jedem Vorgang, außer:", Qualität, Schnelligkeit, Produktivität, Zuverlässigkeit,NIL,NIL,NIL,NIL,NIL,NIL, Produktivität,NIL,NIL
100,SUPPLIER MANAGEMENT,"Folgendes gehört zu den 5 grundsätzlichen Leistungszielen bei jedem Vorgang, außer:", Flexibilität, Qualität, Kosten, Bestände,NIL,NIL,NIL,NIL,NIL,NIL, Bestände,NIL,NIL
101,SUPPLIER MANAGEMENT,"Folgendes gehört zu den 5 grundsätzlichen Leistungszielen bei jedem Vorgang, außer:", Schnelligkeit, Bestand, Flexibilität, Kosten,NIL,NIL,NIL,NIL,NIL,NIL,Nichts,NIL,NIL
